brand,model,year,age,mileage,mileage_per_year,engine_size,fuel_type,transmission,condition,condition_score,owner_count,color,body_type,is_luxury,mpg_estimate,price_usd,price_local,price_category,market_segment,depreciation_rate,value_retention,insurance_estimate,power_to_weight_ratio,regional_factor,source
Mercedes,GLC,2013,11,788,71.63636363636364,3.0,Petrol,Automatic,Excellent,4,2,Red,Convertible,1,23.0,72175,72175.0,Luxury,Luxury,0.23360764534112022,0.7663923546588798,990,0.058823529411764705,1.0,Dataset1_Kaggle_Style
Audi,A3,2016,8,135798,16974.75,2.0,Diesel,Automatic,Good,3,4,Silver,SUV,1,41.0,32357,32357.0,Premium,Luxury,0.33087246934259773,0.6691275306574023,1080,0.041666666666666664,1.0,Dataset1_Kaggle_Style
Nissan,Sentra,2016,8,82980,10372.5,5.0,Hybrid,Automatic,Good,3,1,Silver,SUV,0,38.0,37672,37672.0,Premium,Mid-Market,0.2981070204203309,0.7018929795796691,936,0.10416666666666667,1.0,Dataset1_Kaggle_Style
Ford,Explorer,2019,5,90767,18153.4,2.0,Diesel,Manual,Excellent,4,3,Gray,Hatchback,0,44.0,16332,16332.0,Mid-Range,Economy,0.37976606410451164,0.6202339358954884,900,0.044444444444444446,1.0,Dataset1_Kaggle_Style
Audi,A3,2006,18,4896,272.0,1.0,Petrol,Manual,Good,3,4,White,SUV,1,33.0,21368,21368.0,Mid-Range,Mid-Market,0.627527541486543,0.372472458513457,810,0.017241379310344827,1.0,Dataset1_Kaggle_Style
Chevrolet,Malibu,2022,2,67119,33559.5,3.0,Petrol,Automatic,Excellent,4,3,Brown,Convertible,0,34.0,32426,32426.0,Premium,Mid-Market,0.10981167298083783,0.8901883270191622,1188,0.07142857142857142,1.0,Dataset1_Kaggle_Style
BMW,X1,2017,7,160839,22977.0,1.6,Petrol,Automatic,Good,3,2,Black,Coupe,1,37.6,31697,31697.0,Premium,Luxury,0.3063658445849837,0.6936341554150163,1123,0.03404255319148936,1.0,Dataset1_Kaggle_Style
Honda,Pilot,2018,6,56745,9457.5,1.2,Petrol,Manual,Good,3,4,Silver,SUV,0,40.2,21215,21215.0,Mid-Range,Mid-Market,0.361282553063375,0.638717446936625,772,0.02608695652173913,1.0,Dataset1_Kaggle_Style
BMW,5 Series,2009,15,42263,2817.5333333333333,1.0,Petrol,Automatic,Good,3,4,Black,Sedan,1,38.0,20728,20728.0,Mid-Range,Mid-Market,0.5913893707617095,0.4086106292382905,810,0.01818181818181818,1.0,Dataset1_Kaggle_Style
Nissan,Altima,2014,10,145596,14559.6,1.4,Petrol,Automatic,Good,3,1,Brown,Convertible,0,28.4,17229,17229.0,Mid-Range,Economy,0.5372156114856698,0.46278438851433024,564,0.028,1.0,Dataset1_Kaggle_Style
Volkswagen,Beetle,2016,8,29253,3656.625,1.4,Petrol,Manual,Good,3,0,Black,Coupe,0,41.4,25048,25048.0,Premium,Mid-Market,0.38978756577665175,0.6102124342233483,676,0.029166666666666667,1.0,Dataset1_Kaggle_Style
Hyundai,Elantra,2014,10,45726,4572.6,1.8,Petrol,Automatic,Fair,2,4,Brown,Wagon,0,34.8,10844,10844.0,Mid-Range,Economy,0.6484243288808196,0.3515756711191804,588,0.036,1.0,Dataset1_Kaggle_Style
Volkswagen,Atlas,2015,9,32345,3593.8888888888887,1.0,Petrol,Manual,Good,3,2,Green,Coupe,0,42.0,18834,18834.0,Mid-Range,Economy,0.48867893793777484,0.5113210620622252,594,0.02040816326530612,1.0,Dataset1_Kaggle_Style
Ford,Focus,2006,18,135038,7502.111111111111,2.4,Petrol,Automatic,Good,3,4,White,Convertible,0,33.4,10675,10675.0,Mid-Range,Economy,0.7712908409212641,0.2287091590787359,624,0.041379310344827586,1.0,Dataset1_Kaggle_Style
Mercedes,GLC,2009,15,3956,263.73333333333335,1.0,Petrol,Manual,Fair,2,4,White,Wagon,1,43.0,18624,18624.0,Mid-Range,Economy,0.6169792694965449,0.3830207305034551,810,0.01818181818181818,1.0,Dataset1_Kaggle_Style
Hyundai,Tucson,2011,13,34769,2674.5384615384614,1.6,Petrol,Automatic,Good,3,4,Silver,Coupe,0,31.6,13895,13895.0,Mid-Range,Economy,0.6517107406943226,0.34828925930567745,576,0.03018867924528302,1.0,Dataset1_Kaggle_Style
Nissan,Rogue,2010,14,58070,4147.857142857143,2.0,Diesel,Automatic,Poor,1,4,Silver,Sedan,0,42.0,8674,8674.0,Budget,Budget,0.763483666902983,0.23651633309701703,600,0.037037037037037035,1.0,Dataset1_Kaggle_Style
Mercedes,A-Class,2007,17,78488,4616.941176470588,1.0,Diesel,Automatic,Fair,2,2,Gray,SUV,1,38.0,17382,17382.0,Mid-Range,Economy,0.6617103265735083,0.33828967342649174,810,0.017543859649122806,1.0,Dataset1_Kaggle_Style
Hyundai,Sonata,2017,7,43735,6247.857142857143,2.4,Petrol,Manual,Good,3,1,Green,Convertible,0,25.4,26524,26524.0,Premium,Mid-Market,0.34547428684236503,0.654525713157635,811,0.05106382978723404,1.0,Dataset1_Kaggle_Style
Chevrolet,Silverado,2007,17,119799,7047.0,3.5,Petrol,Manual,Fair,2,0,Green,SUV,0,19.0,11371,11371.0,Mid-Range,Economy,0.7493773555795552,0.2506226444204448,690,0.06140350877192982,1.0,Dataset1_Kaggle_Style
Honda,Accord,2010,14,142358,10168.42857142857,2.4,Petrol,Automatic,Fair,2,2,Red,SUV,0,33.4,12636,12636.0,Mid-Range,Economy,0.6890441972635102,0.3109558027364898,624,0.044444444444444446,1.0,Dataset1_Kaggle_Style
