,brand,model,year,age,mileage,mileage_per_year,engine_size,fuel_type,transmission,condition,condition_score,owner_count,color,body_type,is_luxury,mpg_estimate,price_usd,price_local,price_category,market_segment,depreciation_rate,value_retention,insurance_estimate,power_to_weight_ratio,regional_factor,source,price_inr
0,Mercedes,GLC,2013,11,788,71.63636363636364,3.0,Petrol,Automatic,Excellent,4,2,Red,Convertible,1,23.0,72175,72175.0,Luxury,Luxury,0.2336076453411202,0.7663923546588798,990,0.0588235294117647,1.0,Dataset1_Kaggle_Style,5918350
1,Audi,A3,2016,8,135798,16974.75,2.0,Diesel,Automatic,Good,3,4,Silver,SUV,1,41.0,32357,32357.0,Premium,Luxury,0.3308724693425977,0.6691275306574023,1080,0.0416666666666666,1.0,Dataset1_Kaggle_Style,2653274
2,Nissan,Sentra,2016,8,82980,10372.5,5.0,Hybrid,Automatic,Good,3,1,Silver,SUV,0,38.0,37672,37672.0,Premium,Mid-Market,0.2981070204203309,0.7018929795796691,936,0.1041666666666666,1.0,Dataset1_Kaggle_Style,3089104
3,Ford,Explorer,2019,5,90767,18153.4,2.0,Diesel,Manual,Excellent,4,3,Gray,Hatchback,0,44.0,16332,16332.0,Mid-Range,Economy,0.3797660641045116,0.6202339358954884,900,0.0444444444444444,1.0,Dataset1_Kaggle_Style,1339224
4,Audi,A3,2006,18,4896,272.0,1.0,Petrol,Manual,Good,3,4,White,SUV,1,33.0,21368,21368.0,Mid-Range,Mid-Market,0.627527541486543,0.372472458513457,810,0.0172413793103448,1.0,Dataset1_Kaggle_Style,1752176
5,Chevrolet,Malibu,2022,2,67119,33559.5,3.0,Petrol,Automatic,Excellent,4,3,Brown,Convertible,0,34.0,32426,32426.0,Premium,Mid-Market,0.1098116729808378,0.8901883270191622,1188,0.0714285714285714,1.0,Dataset1_Kaggle_Style,2658932
6,BMW,X1,2017,7,160839,22977.0,1.6,Petrol,Automatic,Good,3,2,Black,Coupe,1,37.6,31697,31697.0,Premium,Luxury,0.3063658445849837,0.6936341554150163,1123,0.0340425531914893,1.0,Dataset1_Kaggle_Style,2599154
7,Honda,Pilot,2018,6,56745,9457.5,1.2,Petrol,Manual,Good,3,4,Silver,SUV,0,40.2,21215,21215.0,Mid-Range,Mid-Market,0.361282553063375,0.638717446936625,772,0.0260869565217391,1.0,Dataset1_Kaggle_Style,1739630
8,BMW,5 Series,2009,15,42263,2817.5333333333333,1.0,Petrol,Automatic,Good,3,4,Black,Sedan,1,38.0,20728,20728.0,Mid-Range,Mid-Market,0.5913893707617095,0.4086106292382905,810,0.0181818181818181,1.0,Dataset1_Kaggle_Style,1699696
9,Nissan,Altima,2014,10,145596,14559.6,1.4,Petrol,Automatic,Good,3,1,Brown,Convertible,0,28.4,17229,17229.0,Mid-Range,Economy,0.5372156114856698,0.4627843885143302,564,0.028,1.0,Dataset1_Kaggle_Style,1412778
10,Volkswagen,Beetle,2016,8,29253,3656.625,1.4,Petrol,Manual,Good,3,0,Black,Coupe,0,41.4,25048,25048.0,Premium,Mid-Market,0.3897875657766517,0.6102124342233483,676,0.0291666666666666,1.0,Dataset1_Kaggle_Style,2053936
11,Hyundai,Elantra,2014,10,45726,4572.6,1.8,Petrol,Automatic,Fair,2,4,Brown,Wagon,0,34.8,10844,10844.0,Mid-Range,Economy,0.6484243288808196,0.3515756711191804,588,0.036,1.0,Dataset1_Kaggle_Style,889208
12,Volkswagen,Atlas,2015,9,32345,3593.8888888888887,1.0,Petrol,Manual,Good,3,2,Green,Coupe,0,42.0,18834,18834.0,Mid-Range,Economy,0.4886789379377748,0.5113210620622252,594,0.0204081632653061,1.0,Dataset1_Kaggle_Style,1544388
13,Ford,Focus,2006,18,135038,7502.111111111111,2.4,Petrol,Automatic,Good,3,4,White,Convertible,0,33.4,10675,10675.0,Mid-Range,Economy,0.7712908409212641,0.2287091590787359,624,0.0413793103448275,1.0,Dataset1_Kaggle_Style,875350
14,Mercedes,GLC,2009,15,3956,263.7333333333333,1.0,Petrol,Manual,Fair,2,4,White,Wagon,1,43.0,18624,18624.0,Mid-Range,Economy,0.6169792694965449,0.3830207305034551,810,0.0181818181818181,1.0,Dataset1_Kaggle_Style,1527168
15,Hyundai,Tucson,2011,13,34769,2674.538461538461,1.6,Petrol,Automatic,Good,3,4,Silver,Coupe,0,31.6,13895,13895.0,Mid-Range,Economy,0.6517107406943226,0.3482892593056774,576,0.030188679245283,1.0,Dataset1_Kaggle_Style,1139390
