brand,model,fuel_type,transmission,condition,color,body_type,year,age,mileage,mileage_per_year,engine_size,owner_count,price_local
14,62,4,0,0,5,0,2013,11,788,71.63636363636364,3.0,2,72175.0
0,7,1,0,2,6,5,2016,8,135798,16974.75,2.0,4,32357.0
15,131,3,0,2,6,5,2016,8,82980,10372.5,5.0,1,37672.0
4,54,1,1,0,3,3,2019,5,90767,18153.4,2.0,3,16332.0
0,7,4,1,2,7,5,2006,18,4896,272.0,1.0,4,21368.0
3,89,4,0,0,2,0,2022,2,67119,33559.5,3.0,3,32426.0
1,152,4,0,2,0,1,2017,7,160839,22977.0,1.6,2,31697.0
5,105,4,1,2,6,5,2018,6,56745,9457.5,1.2,4,21215.0
1,2,4,0,2,0,6,2009,15,42263,2817.5333333333333,1.0,4,20728.0
15,15,4,0,2,2,0,2014,10,145596,14559.6,1.4,1,17229.0
22,23,4,1,2,0,1,2016,8,29253,3656.625,1.4,0,25048.0
6,48,4,0,1,2,7,2014,10,45726,4572.6,1.8,4,10844.0
22,21,4,1,2,4,1,2015,9,32345,3593.8888888888887,1.0,2,18834.0
4,59,4,0,2,7,0,2006,18,135038,7502.111111111111,2.4,4,10675.0
14,62,4,1,1,7,7,2009,15,3956,263.7333333333333,1.0,4,18624.0
6,146,4,0,2,6,1,2011,13,34769,2674.538461538461,1.6,4,13895.0
15,123,1,0,3,6,6,2010,14,58070,4147.857142857143,2.0,4,8674.0
14,5,1,0,1,3,5,2007,17,78488,4616.941176470588,1.0,2,17382.0
6,134,4,1,2,4,0,2017,7,43735,6247.857142857143,2.4,1,26524.0
3,133,4,1,1,4,5,2007,17,119799,7047.0,3.5,0,11371.0
5,14,4,0,1,5,5,2010,14,142358,10168.42857142857,2.4,2,12636.0
6,134,4,1,1,0,1,2015,9,3324,369.3333333333333,1.4,2,14683.0
15,131,4,0,2,2,0,2021,3,25739,8579.666666666666,1.6,3,27094.0
3,145,2,0,2,3,5,2014,10,1186,118.6,2.0,0,31051.0
14,62,4,1,0,0,3,2016,8,19980,2497.5,4.0,1,55791.0
0,111,1,0,2,7,6,2021,3,38487,12829.0,2.4,5,39877.0
20,75,4,0,2,7,7,2008,16,120840,7552.5,1.6,1,10457.0
5,105,4,0,2,4,1,2006,18,93720,5206.666666666667,3.5,5,16186.0
5,122,4,0,3,3,0,2015,9,6819,757.6666666666666,4.0,3,20677.0
1,3,1,0,0,6,0,2011,13,4882,375.5384615384616,3.0,3,64145.0
